# 1
1 0.000231 0.000231 0.001939 0.015655 
# 2
2 0.000210 0.000221 0.001996 0.031302 
# 4
4 0.000054 0.000182 0.004820 0.062603 
# 8
8 0.000063 0.000204 0.008136 0.125099 
# 16
16 0.000134 0.000234 0.015920 0.250153 
# 32
32 0.000056 0.000200 0.024769 0.500608 
# 64
64 0.000048 0.000178 0.023317 0.999824 
# 128
128 0.000024 0.000107 0.024158 1.025217 
# 256
256 0.000013 0.000031 0.093382 1.037416 
# 512
512 0.000023 0.000042 0.000191 1.049038 
# 1024
1024 0.000010 0.000010 0.000069 1.009651 
# 2048
2048 0.000008 0.000013 0.000040 1.980921 
# 4096
4096 0.000007 0.000016 0.000026 1.058441 
# 8192
8192 0.0 0.000005 0.000012 0.000024 
# 16384
16384 0.0 0.0 0.000004 0.000010 
# 32768
32768 0.0 0.0 0.0 0.000002 
